fred_series_id,description,category,frequency,datasource,num_revisions,file_type,filename,release_delay
DEXJPUS,FX_Yen_USD,G,daily,ALFRED,1,latest,G_DEXJPUS_FX_Yen_USD_latest.csv,T+1
DEXKOUS,FX_Won_USD,G,daily,ALFRED,1,latest,G_DEXKOUS_FX_Won_USD_latest.csv,T+1
DEXMXUS,FX_Peso_USD,G,daily,ALFRED,1,latest,G_DEXMXUS_FX_Peso_USD_latest.csv,T+1
DEXUSEU,FX_USD_Euro,G,daily,ALFRED,1,latest,G_DEXUSEU_FX_USD_Euro_latest.csv,T+1
DEXUSUK,FX_USD_GBP,G,daily,ALFRED,1,latest,G_DEXUSUK_FX_USD_GBP_latest.csv,T+1
DTWEXAFEGS,Dollar_Advanced_Econ,G,daily,ALFRED,1,latest,G_DTWEXAFEGS_Dollar_Advanced_Econ_latest.csv,T+1
DTWEXBGS,Dollar_Broad_TradeW,G,daily,ALFRED,1,latest,G_DTWEXBGS_Dollar_Broad_TradeW_latest.csv,T+1
DTWEXEMEGS,Dollar_EM,G,daily,ALFRED,1,latest,G_DTWEXEMEGS_Dollar_EM_latest.csv,T+1
IR3TIB01JPM156N,Japan_3M_Interbank,G,monthly,ALFRED,1,latest,G_IR3TIB01JPM156N_Japan_3M_Interbank_latest.csv,"M+8w (OECD MEI, Japan interbank)"
IRLTLT01DEM156N,Germany_10Y_Bund,G,monthly,ALFRED,1,latest,G_IRLTLT01DEM156N_Germany_10Y_Bund_latest.csv,"M+8w (OECD MEI, German Bund)"
IRLTLT01GBM156N,UK_10Y_Gilt,G,monthly,ALFRED,1,latest,G_IRLTLT01GBM156N_UK_10Y_Gilt_latest.csv,"M+8w (OECD MEI, UK Gilt)"
IRLTLT01JPM156N,Japan_10Y_JGB,G,monthly,ALFRED,1,latest,G_IRLTLT01JPM156N_Japan_10Y_JGB_latest.csv,"M+8w (OECD MEI, Japan JGB)"
IRSTCB01JPM156N,BOJ_Policy_Rate,G,monthly,ALFRED,1,latest,G_IRSTCB01JPM156N_BOJ_Policy_Rate_latest.csv,"M+8w (OECD MEI, BOJ rate)"
RBUSBIS,BIS_Real_Broad_USD,G,monthly,ALFRED,1,latest,G_RBUSBIS_BIS_Real_Broad_USD_latest.csv,M+6w (BIS effective exchange rate)
DCOILBRENTEU,Brent_Crude_Oil,H,daily,ALFRED,1,latest,H_DCOILBRENTEU_Brent_Crude_Oil_latest.csv,T+1
DCOILWTICO,WTI_Crude_Oil,H,daily,ALFRED,1,latest,H_DCOILWTICO_WTI_Crude_Oil_latest.csv,T+1
PALUMUSDM,Aluminum_Global,H,monthly,ALFRED,1,latest,H_PALUMUSDM_Aluminum_Global_latest.csv,M+4w (IMF commodity prices)
PCOPPUSDM,Copper_Global,H,monthly,ALFRED,1,latest,H_PCOPPUSDM_Copper_Global_latest.csv,M+4w (IMF commodity prices)
PNGASUSUSDM,NatGas_US,H,monthly,ALFRED,1,latest,H_PNGASUSUSDM_NatGas_US_latest.csv,M+4w (IMF commodity prices)
PWHEAMTUSDM,Wheat_Global,H,monthly,ALFRED,1,latest,H_PWHEAMTUSDM_Wheat_Global_latest.csv,M+4w (IMF commodity prices)
PZINCUSDM,Zinc_Global,H,monthly,ALFRED,1,latest,H_PZINCUSDM_Zinc_Global_latest.csv,M+4w (IMF commodity prices)
CSCICP03USM665S,OECD_Consumer_Confidence,I,monthly,ALFRED,1,latest,I_CSCICP03USM665S_OECD_Consumer_Confidence_latest.csv,M+6w (OECD Consumer Opinion)
PSAVERT,Personal_Saving_Rate,I,monthly,ALFRED,3,revision_timeline,I_PSAVERT_Personal_Saving_Rate_revision_timeline.csv,N/A (actual release dates in data)
RETAILSMNSA,Retail_Sales_NSA,I,monthly,ALFRED,1,latest,I_RETAILSMNSA_Retail_Sales_NSA_latest.csv,M+2w (Census retail sales)
UMCSENT,Michigan_Consumer_Sentiment,I,monthly,ALFRED,2,revision_timeline,I_UMCSENT_Michigan_Consumer_Sentiment_revision_timeline.csv,N/A (actual release dates in data)
ASPUS,Avg_Home_Sale_Price,J,quarterly,ALFRED,1,latest,J_ASPUS_Avg_Home_Sale_Price_latest.csv,Q+6w (Census new home sales price)
COMPUTSA,Housing_Completions,J,monthly,ALFRED,3,revision_timeline,J_COMPUTSA_Housing_Completions_revision_timeline.csv,N/A (actual release dates in data)
CSUSHPISA,Case_Shiller_National,J,monthly,ALFRED,1,latest,J_CSUSHPISA_Case_Shiller_National_latest.csv,"M+8w (S&P Cotality Case-Shiller, 2mo lag)"
HSN1F,New_Home_Sales,J,monthly,ALFRED,2,revision_timeline,J_HSN1F_New_Home_Sales_revision_timeline.csv,N/A (actual release dates in data)
MSACSR,Monthly_New_House_Supply,J,monthly,ALFRED,2,revision_timeline,J_MSACSR_Monthly_New_House_Supply_revision_timeline.csv,N/A (actual release dates in data)
MSPUS,Median_Home_Sale_Price,J,quarterly,ALFRED,1,latest,J_MSPUS_Median_Home_Sale_Price_latest.csv,Q+6w (Census new home median price)
UNDCONTSA,Housing_Under_Construction,J,monthly,ALFRED,3,revision_timeline,J_UNDCONTSA_Housing_Under_Construction_revision_timeline.csv,N/A (actual release dates in data)
USSTHPI,House_Price_Index,J,quarterly,ALFRED,1,latest,J_USSTHPI_House_Price_Index_latest.csv,"Q+8w (FHFA HPI, quarterly)"
FYFSD,Federal_Deficit,K,annual,ALFRED,2,revision_timeline,K_FYFSD_Federal_Deficit_revision_timeline.csv,N/A (actual release dates in data)
FYONET,Federal_Outlays,K,annual,ALFRED,2,revision_timeline,K_FYONET_Federal_Outlays_revision_timeline.csv,N/A (actual release dates in data)
GFDEBTN,Federal_Debt,K,quarterly,ALFRED,1,latest,K_GFDEBTN_Federal_Debt_latest.csv,"Q+1d (Treasury, available immediately)"
SP500,SP500,L,daily,ALFRED,1,latest,L_SP500_SP500_latest.csv,T+1
VIXCLS,VIX,L,daily,ALFRED,1,latest,L_VIXCLS_VIX_latest.csv,T+1
